Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Segment,Country,State,City,Region,Postal_Code,Product_ID,Product_Name,Category,Sub_Category,Brand,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Profit_Margin,Ship_Mode,Shipping_Cost,Payment_Method,Order_Status,Salesperson,Return_Status,Customer_Rating
ORD029370,06/11/2024,2024-11-07,CUST08581,Amit Sharma,Home Office,UAE,Karnataka,Hydrabad,North,136439,P02890,Desk X,Technology,Phone,Prime,14,982.95,-0.1,15137.430000000002,492.14,8247.47,54.48,Standard,159.85,UPI,Pending,Rohit,No,1
ORD030567,2023-07-26,2023-08-09,CUST07181,Rahul Sharma, consumer ,UAE,Karnataka,Hydrabad,East,917426,P00751,Laptop 2025,Furniture,Table,,7,3171.24,0.18,18202.9176,2555.29,315.89,1.74,Standard,151.61,UPI,Cancelled,Rohit,,3
ORD004486,2025-01-18,2025-01-30,CUST01797,John Sharma, consumer ,USA,Maharastra,,North,ABC123,P00950,Chair Pro,Technology,Laptop,,17,4885.51,,83053.67,2521.6,40186.47,48.39,standard ,249.04,Cash,Shipped,Meera,,2
ORD014560,19/04/2025,2025-05-03,CUST10781,John ,Home Office,india,Maharastra,Chennai,East,,P01110,Notebook Max,Technology,Laptop,Zen,8,610.33,,4882.64,445.34,1319.92,27.03,Same Day,188.21,Card,Pending,,Yes,1
ORD001449,"Nov 17, 2023",2023-11-29,CUST05059, Sharma,Home Office,India,Gujarat, MUMBAI ,North,,P01662,Laptop 2025,Technology,Laptop,Prime,11,2296.69,0.03,24505.6823,1027.83,13199.55,53.86,Same Day,240.4,Card,Delivered,Rohit,,1
ORD027328,28/07/2023,2023-08-05,CUST12786,Aditya Khan,Corporate,USA,Delhi,Bengaluru,South,,P02752,Laptop 2025,Technology,Phone,Zen,7,3851.94,,26963.58,1781.92,14490.14,53.74,Express,104.26,Cash,Pending,Anjali,,5
ORD011821,01/09/2024,2024-09-14,CUST05886,Neha ,Home Office,,Karnataka,Chennai,East,,P00106,Chair Max,Furniture,Chair,,4,3441.59,1.2,-2753.2719999999995,2106.04,-11177.43,405.97,standard ,348.43,COD,Pending,Rohit,,
ORD006086,2024-08-19,2024-08-31,CUST14286,Sneha Khan,Corporate,,Tamil Nadu,Delhi,West,400001 ,P02743,Mouse Max,Technology,Phone,Acme,1,1181.03,,1181.03,573.5,607.53,51.44,Standard,472.17,COD,Delivered,Anjali,,2
ORD032411,"Mar 12, 2023",,CUST04348,Vikas Patel, consumer ,,Tamil Nadu, MUMBAI ,South,ABC123,P00473,Chair Pro,Furniture,Table,Acme,12,1423.28,1.2,-3415.8719999999994,723.39,-12096.55,354.13,standard ,36.35,,Delivered,Meera,Yes,Five
ORD033081,11/12/2024,2024-12-14,CUST07300,Priya , consumer ,india,Maharastra,Bengaluru,South,ABC123,P02460,Desk Max,Furniture,Chair,,1,3481.3,-0.1,3829.4300000000003,2880.15,949.28,24.79,standard ,27.64,Cash,Delivered,Meera,Yes,
ORD030355,2024-02-05,2024-02-05,CUST09939,Rahul , consumer ,INDIA,Karnataka,Delhi,West,400001 ,P01812,Desk 2025,Office Supplies,Paper,Zen,8,4858.94,-0.1,42758.672,2924.31,19364.19,45.29,Express,492.86,Card,Shipped,Anjali,Yes,3
ORD019129,"Sep 02, 2023",2023-09-11,CUST12170, Sharma,Home Office,INDIA,Karnataka, MUMBAI ,West,,P00316,Notebook Pro,Furniture,Chair,Acme,18,1649.77,,29695.86,1326.53,5818.32,19.59,Express,369.1,COD,Shipped,Anjali,Yes,3
ORD042283,18/02/2023,2023-02-25,CUST08692,John ,Corporate,INDIA,Delhi,Hydrabad,North,400001 ,P00397,Laptop X,Technology,Laptop,Zen,20,3166.92,0.42,36736.272000000004,2123.82,-5740.13,-15.63,standard ,43.85,UPI,Cancelled,Karan,Yes,Five
ORD024573,22/04/2025,2025-05-03,CUST07252, Patel,Home Office,india,Maharastra,Chennai,,548447,P01983,Notebook ,Furniture,Table,,17,3212.26,,54608.420000000006,2072.45,19376.77,35.48,Same Day,301.89,Card,Delivered,Karan,No,3
ORD026281,"Jun 02, 2024",2024-06-05,CUST05929,Aditya Sharma,Consumer,India,Gujarat,Pune,South,116354,P00678,Mouse Pro,Furniture,Chair,Prime,10,4928.47,-0.1,54213.17000000001,3025.95,23953.67,44.18,Standard,211.6,Card,Shipped,Meera,,4
ORD028290,"Jul 09, 2024",2024-07-13,CUST10743,Aditya Singh,Consumer,India,Karnataka,Chennai,,ABC123,P00686,Desk Pro,Technology,Phone,,3,3015.12,0.45,4974.948,1449.5,626.45,12.59,Express,214.03,UPI,Cancelled,Meera,No,Five
ORD010665,2024-02-10,2024-02-12,CUST08086,Amit Singh, consumer ,USA,,Bengaluru,South,ABC123,P01896,Mouse ,Technology,Phone,Prime,20,1543.44,1.2,-6173.759999999999,1386.5,-33903.76,549.16,Standard,124.6,Net Banking,Cancelled,,,5
ORD016160,"Jul 01, 2024",2024-07-16,CUST03721,Amit Singh,Corporate,USA,Tamil Nadu,Mumbai,East,400001 ,P01387,Mouse Max,Furniture,Chair,Zen,15,1787.39,0.12,23593.548000000003,1560.05,192.8,0.82,Standard,458.46,Net Banking,Cancelled,Karan,No,1
ORD039947,"May 04, 2024",2024-05-14,CUST00154,Aditya Khan,Home Office,INDIA,,Delhi,South,400001 ,P01579,Notebook ,Furniture,Chair,Prime,0,4224.38,1.2,-0.0,2382.14,-0.0,,Standard,483.64,Cash,Pending,Karan,No,3
ORD019428,"Aug 17, 2023",2023-08-15,CUST07271,Neha ,Consumer,india,Karnataka,Mumbai,South,ABC123,P00060,Notebook 2025,Tech,Paper,Acme,11,946.3,,10409.3,645.89,3304.51,31.75,Express,107.17,Card,Shipped,,No,1
ORD032074,"Aug 24, 2024",2024-08-27,CUST00958,Vikas Patel, consumer ,,Gujarat,Bengaluru,,400001 ,P00814,Mouse X,Technology,Laptop,Zen,17,3249.28,,55237.76,1846.24,23851.68,43.18,Same Day,137.08,COD,Delivered,,Yes,Five
ORD000178,"May 19, 2025",2025-06-02,CUST02534,Neha Singh, consumer ,India,Maharastra,Delhi,West,,P02865,Desk X,Furniture,Table,Acme,-1,3269.51,1.2,653.9019999999999,2160.76,2814.66,430.44,Express,28.89,Card,Delivered,Meera,Yes,2
ORD020271,"Jan 12, 2023",2023-01-21,CUST13498,Vikas Patel,Consumer,india,,Hydrabad,East,270788,P02860,Chair Pro,Furniture,Chair,,1,1563.4,1.2,-312.67999999999995,1048.41,-1361.09,435.3,standard ,347.3,Card,Shipped,,Yes,Five
ORD005211,17/05/2025,2025-05-25,CUST13632,Rahul Patel,Home Office,UAE,Tamil Nadu,,,489205,P02220,Mouse 2025,Furniture,Table,Nova,19,3534.7,,67159.3,2493.24,19787.74,29.46,standard ,22.29,,Cancelled,Meera,Yes,1
ORD001349,2025-06-07,2025-06-13,CUST00860,Rahul Singh,Consumer,india,Maharastra,Pune,North,ABC123,P02315,Mouse Pro,Furniture,Chair,Nova,9,228.74,0.0,2058.66,178.24,454.5,22.08,Standard,303.6,Cash,Delivered,Karan,Yes,1
ORD031426,2025-01-13,2025-01-24,CUST07675,Rahul Sharma,Consumer,,Delhi,Bengaluru,East,,P02246,Phone ,Technology,Phone,Prime,9,2154.45,,19390.05,1459.98,6250.23,32.23,standard ,67.26,UPI,Delivered,,,2
ORD038584,2025-06-09,2025-06-07,CUST01513, Patel,Corporate,india,Delhi,,East,400001 ,P02490,Phone Pro,Technology,Laptop,,8,590.43,,4723.44,300.63,2318.4,49.08,Express,20.71,Card,Cancelled,Meera,,
ORD043087,"May 21, 2025",2025-05-22,CUST11221,Rahul Khan,Corporate,INDIA,, MUMBAI ,,,P02604,Phone Pro,Office Supplies,Paper,Prime,13,4061.18,-0.1,58074.874,2174.85,29801.82,51.32,Standard,261.66,Cash,Cancelled,Anjali,Yes,
ORD029643,12/05/2023,2023-05-10,CUST14166,Sara ,Consumer,USA,Karnataka,Hydrabad,West,,P00160,Notebook Max,Office Supplies,Paper,,17,3166.81,-0.1,59219.347,1673.19,30775.12,51.97,Express,354.41,Cash,Delivered,Meera,,4
ORD003769,"Dec 28, 2024",2025-01-01,CUST14092,Amit ,Corporate,USA,Gujarat, MUMBAI ,North,ABC123,P00069,Mouse X,Technology,Laptop,Zen,17,1971.45,0.16,28152.306,1440.05,3671.46,13.04,Same Day,97.5,Card,Pending,Rohit,,
ORD035535,2023-02-16,2023-02-19,CUST13288,Sneha Singh,Corporate,USA,Delhi,,North,ABC123,P00521,Mouse X,Furniture,Chair,Acme,14,2588.76,,36242.64,2101.0,6828.64,18.84,standard ,113.96,Cash,Delivered,Meera,,2
ORD028494,2024-03-12,2024-03-24,CUST04893,Neha Singh,Home Office,india,Maharastra,,South,,P01294,Chair Pro,Furniture,Table,Nova,20,3512.48,,70249.6,3137.0,7509.6,10.69,Express,47.0,Net Banking,Pending,Meera,Yes,
ORD039185,2025-01-03,2025-01-14,CUST01584,John ,Consumer,india,Karnataka,Bengaluru,South,279714,P00460,Chair Max,Furniture,Table,,2,1233.69,0.49,1258.3638,670.7,-83.04,-6.6,standard ,448.55,Net Banking,Shipped,Karan,Yes,5
ORD018202,03/08/2023,2023-08-05,CUST14040,Rahul ,Consumer,INDIA,Maharashtra,Chennai,East,821135,P03000,Phone 2025,Technology,Laptop,Prime,0,3303.05,,0.0,1368.37,0.0,,Same Day,404.76,Card,Shipped,Rohit,,1
ORD031591,"May 01, 2023",2023-05-02,CUST14100,Rahul Khan, consumer ,,Delhi,Bengaluru,West,400001 ,P00031,Phone Pro,Furniture,Table,Nova,6,158.31,-0.1,1044.846,95.5,471.85,45.16,Same Day,396.98,Card,Shipped,Rohit,No,1
ORD036712,"May 04, 2025",2025-05-17,CUST01251, Khan,Home Office,India,Karnataka, MUMBAI ,West,ABC123,P01034,Phone Pro,Tech,Laptop,Nova,19,3710.42,0.02,69088.0204,1952.84,31984.06,46.29,Express,346.13,UPI,Cancelled,Rohit,No,2
ORD001897,2023-10-29,2023-11-04,CUST13831,Priya ,Home Office,,Karnataka,,,ABC123,P02194,Chair X,Technology,Laptop,Zen,6,4555.4,-0.1,30065.64,1994.34,18099.6,60.2,Standard,288.85,UPI,Pending,,No,3
ORD034608,2024-02-12,2024-02-12,CUST02622,Priya ,Corporate,UAE,Maharashtra,Hydrabad,,400001 ,P02907,Mouse 2025,Office Supplies,Paper,,14,305.22,1.2,-854.6159999999998,193.68,-3566.14,417.28,Express,201.49,Net Banking,Pending,Anjali,No,Five
ORD029399,2023-03-22,2023-03-30,CUST12238,John ,Corporate,UAE,Delhi,Bengaluru,West,178425,P01449,Desk ,Furniture,Chair,Nova,2,883.51,-0.1,1943.7220000000002,541.72,860.28,44.26,Express,143.17,COD,Cancelled,Rohit,No,4
ORD034519,"Oct 14, 2024",2024-10-19,CUST09093,Sneha Khan, consumer ,india,Delhi,Bengaluru,South,758345,P00465,Desk ,Technology,Laptop,Zen,17,715.16,-0.1,13373.492,322.77,7886.4,58.97,Standard,79.69,Net Banking,Cancelled,Rohit,No,5
ORD036377,"Jul 08, 2023",2023-07-11,CUST06512,Priya Patel, consumer ,,Gujarat,Bengaluru,East,400001 ,P00974,Laptop ,Office Supplies,Paper,Acme,3,2263.85,-0.1,7470.705,1939.84,1651.19,22.1,Same Day,186.08,Net Banking,Pending,Karan,Yes,2
ORD042566,2024-08-13,2024-08-17,CUST09888,Vikas Patel,Home Office,india,Karnataka, MUMBAI ,West,,P01787,Notebook ,Furniture,Chair,,12,4278.4,,51340.799999999996,3489.81,9463.08,18.43,Express,254.63,COD,Cancelled,Meera,,
ORD023011,2025-02-01,2025-02-16,CUST07657,Rahul , consumer ,india,Delhi,Hydrabad,North,653662,P02198,Notebook 2025,Furniture,Chair,Nova,17,2191.99,-0.1,40990.212999999996,1402.36,17150.09,41.84,standard ,97.47,COD,Delivered,Meera,Yes,1
ORD000410,"Jun 10, 2023",2023-06-21,CUST11031,Amit Singh,Home Office,india,Tamil Nadu,Bengaluru,South,ABC123,P02077,Mouse ,Technology,Phone,,11,294.46,0.49,1651.9206,204.51,-597.69,-36.18,Standard,54.99,UPI,Cancelled,,No,5
ORD025008,"May 06, 2024",2024-05-13,CUST13958,Amit Sharma, consumer ,UAE,, MUMBAI ,,400001 ,P02898,Desk Max,Office Supplies,Paper,Acme,13,2604.66,-0.1,37246.638000000006,1957.28,11802.0,31.69,Same Day,292.8,UPI,Delivered,Rohit,,3
ORD018227,10/07/2024,2024-07-20,CUST01957,Amit Singh,Home Office,India,Maharastra,Delhi,North,ABC123,P00716,Notebook Pro,Furniture,Chair,Acme,19,3973.58,0.09,68703.1982,3055.39,10650.79,15.5,Standard,186.2,Cash,Shipped,,Yes,
ORD027684,2024-11-07,2024-11-09,CUST09549,Neha Sharma,Corporate,india,Karnataka,Mumbai,,,P00455,Notebook 2025,Technology,Phone,Prime,9,4283.78,1.2,-7710.803999999997,3085.87,-35483.63,460.18,Standard,399.35,,Shipped,Rohit,Yes,5
ORD003704,2023-01-03,2023-01-15,CUST07208,John ,Home Office,USA,Gujarat, MUMBAI ,West,,P02552,Desk ,Technology,Phone,Nova,13,2297.88,0.37,18819.6372,1864.93,-5424.45,-28.82,standard ,181.01,UPI,Pending,Karan,No,5
ORD003910,2023-12-13,2023-12-25,CUST13062,Priya Singh,Corporate,india,Maharashtra, MUMBAI ,South,,P02371,Laptop ,Office Supplies,Paper,,16,1340.27,0.17,17798.7856,801.04,4982.15,27.99,Standard,152.3,UPI,Cancelled,Meera,Yes,Five
ORD020765,2023-08-19,2023-09-02,CUST06780,John Patel, consumer ,india,Maharastra,Hydrabad,South,400001 ,P01909,Mouse ,Furniture,Chair,Prime,18,3608.06,0.12,57151.6704,2701.9,8517.47,14.9,Express,321.15,Card,Cancelled,Karan,No,3
ORD037500,"Aug 10, 2023",2023-08-25,CUST04480,Aditya Sharma,Home Office,,Tamil Nadu,Chennai,,ABC123,P01937,Laptop Pro,Technology,Phone,Acme,3,3876.84,1.2,-2326.1039999999994,2098.44,-8621.42,370.64,Same Day,47.98,Card,Pending,Anjali,,Five
ORD017078,04/02/2023,,CUST07159,John Singh,Consumer,INDIA,Gujarat,Hydrabad,,ABC123,P00366,Laptop Max,Technology,Laptop,,5,4993.04,1.2,-4993.039999999999,3051.7,-20251.54,405.6,Same Day,362.33,COD,Cancelled,Karan,No,
ORD030038,"Jul 12, 2023",2023-07-15,CUST14982,Rahul ,Corporate,INDIA,Gujarat,Hydrabad,,400001 ,P02836,Chair Max,Technology,Phone,Acme,10,2817.18,1.2,-5634.359999999999,2350.5,-29139.36,517.17,Standard,180.84,,Pending,Rohit,,2
ORD010887,2024-07-07,,CUST14496,Priya Singh, consumer ,UAE,Maharastra,,,ABC123,P01022,Notebook X,Office Supplies,Paper,Nova,5,3087.25,0.27,11268.4625,2218.82,174.36,1.55,Standard,271.36,Card,Shipped,,,2
ORD029821,14/07/2023,2023-07-22,CUST11354, , consumer ,USA,,Pune,West,ABC123,P01847,Chair X,Furniture,Chair,Zen,11,4373.98,-0.1,52925.158,1795.8,33171.36,62.68,Standard,33.95,UPI,Delivered,Meera,No,1
ORD012890,"Sep 08, 2024",2024-09-17,CUST00896,Amit Patel,Consumer,USA,Karnataka,,North,400001 ,P01725,Notebook Pro,Office Supplies,Paper,,16,3802.77,-0.1,66928.75200000001,2616.77,25060.43,37.44,Express,403.4,Cash,Delivered,Rohit,Yes,3
ORD044348,2023-07-22,2023-07-25,CUST06495,Priya , consumer ,india,Gujarat,,East,ABC123,P02380,Mouse X,Technology,Phone,Nova,14,3632.36,0.42,29494.763200000005,2065.68,575.24,1.95,Standard,383.57,Card,Cancelled,Meera,No,5
ORD018782,25/03/2024,2024-04-03,CUST13020,Rahul Patel, consumer ,India,Tamil Nadu,Chennai,West,ABC123,P02289,Mouse Max,Technology,Laptop,,2,1531.76,1.2,-612.7039999999998,925.7,-2464.1,402.17,Express,288.05,UPI,Pending,Karan,Yes,4
ORD021505,"May 03, 2025",,CUST09020,Neha Sharma, consumer ,india,Delhi,Pune,East,,P00353,Notebook X,Furniture,Table,,5,3535.62,,17678.1,2584.48,4755.7,26.9,Standard,115.63,,Shipped,Rohit,,Five
ORD009948,2024-04-03,2024-04-18,CUST13245,Sneha Sharma, consumer ,India,Delhi,,East,400001 ,P02605,Laptop 2025,Technology,Phone,,14,2501.23,1.2,-7003.443999999999,1666.42,-30333.32,433.12,Express,256.18,COD,Shipped,Anjali,Yes,1
ORD043780,2025-04-26,2025-05-05,CUST09542, Patel, consumer ,USA,Gujarat,Mumbai,East,,P02383,Phone Pro,Furniture,Chair,Prime,11,4755.26,0.31,36092.4234,4261.35,-10782.43,-29.87,Same Day,81.42,,Shipped,Anjali,,Five
ORD005064,2025-05-06,2025-05-13,CUST12611,Vikas Khan, consumer ,India,Maharastra,Delhi,West,400001 ,P00015,Phone Pro,Furniture,Chair,Prime,3,3814.3,,11442.900000000001,1715.14,6297.48,55.03,Express,101.39,,Delivered,Rohit,No,
ORD001879,30/03/2023,2023-04-07,CUST02127,Aditya Khan, consumer ,,Delhi,Chennai,,864722,P02631,Laptop ,Technology,Phone,Acme,11,4878.53,,53663.829999999994,2744.68,23472.35,43.74,standard ,294.32,Net Banking,Shipped,Anjali,Yes,1
ORD002404,"May 31, 2025",2025-06-07,CUST09210,Sneha Patel, consumer ,USA,Gujarat, MUMBAI ,South,400001 ,P01739,Notebook X,Technology,Phone,,4,₹2123.66,,8494.64,1849.27,1097.56,12.92,Standard,161.58,Cash,Shipped,,Yes,4
ORD030864,2025-05-01,2025-05-16,CUST07573,John Khan,Home Office,USA,Delhi,,West,400001 ,P01245,Phone 2025,Furniture,Chair,Nova,1,2403.15,,2403.15,1300.52,1102.63,45.88,standard ,91.15,,Cancelled,Karan,Yes,3
ORD023418,"Dec 30, 2024",2025-01-11,CUST00809,Vikas Khan,Corporate,INDIA,Karnataka, MUMBAI ,North,ABC123,P02897,Notebook Max,Technology,Laptop,Acme,5,4763.88,-0.1,26201.340000000004,3706.34,7669.64,29.27,standard ,157.49,UPI,Pending,Anjali,Yes,1
ORD004337,2024-01-26,2024-01-29,CUST03113,Sneha ,Corporate,India,Maharastra,Bengaluru,East,,P00164,Desk Pro,Furniture,Chair,,2,4639.92,-0.1,10207.824,2688.48,4830.86,47.33,standard ,194.81,COD,Pending,,Yes,
ORD031259,"Sep 14, 2024",2024-09-13,CUST03490,John Singh,Consumer,INDIA,Delhi,Delhi,East,849511,P00334,Laptop X,Office Supplies,Paper,,14,1114.7,1.2,-3121.1599999999994,844.78,-14948.08,478.93,Express,24.65,,Cancelled,Rohit,No,5
ORD014360,"Dec 11, 2024",2024-12-21,CUST04416,Sneha Patel,Corporate,USA,Karnataka,Chennai,West,ABC123,P02742,Notebook 2025,Technology,Laptop,,0,4665.63,,0.0,2546.94,0.0,,standard ,84.73,UPI,Cancelled,Anjali,No,
ORD007449,2025-05-30,2025-06-10,CUST08334,John ,Consumer,UAE,Gujarat,Delhi,South,,P01750,Phone X,Furniture,Chair,,13,3079.6,0.05,38033.06,1472.56,18889.78,49.67,Standard,100.88,Card,Pending,Meera,No,5
ORD006528,"Aug 17, 2024",2024-08-21,CUST13289,Priya Khan,Corporate,INDIA,,Delhi,East,400001 ,P00756,Phone ,Office Supplies,Paper,Acme,-1,1014.77,0.04,-974.1791999999999,726.83,-247.35,25.39,Express,220.03,COD,Shipped,Meera,,1
ORD039223,"Feb 09, 2025",2025-02-09,CUST01198,Amit Singh,Corporate,,Karnataka,Mumbai,East,,P02660,Laptop Pro,Technology,Phone,Acme,3,4594.21,0.05,13093.4985,3180.27,3552.69,27.13,Same Day,102.47,Net Banking,Delivered,Anjali,No,2
ORD007139,"May 20, 2024",2024-05-20,CUST03024, Sharma,Consumer,UAE,Maharastra,Chennai,,400001 ,P01620,Laptop Pro,Tech,Phone,,9,500.9,0.43,2569.617,292.69,-64.59,-2.51,Express,24.29,Card,Cancelled,Rohit,No,Five
ORD008283,"May 23, 2023",,CUST02731, Sharma,Consumer,USA,Karnataka,Mumbai,West,261259,P01924,Laptop 2025,Technology,Laptop,,19,1940.07,0.15,31332.1305,1041.44,11544.77,36.85,Same Day,469.75,Cash,Delivered,,Yes,3
ORD003124,02/08/2024,2024-08-01,CUST10246,Priya Patel, consumer ,,Tamil Nadu,Hydrabad,North,,P01667,Phone Max,Technology,Phone,,3,1022.56,0.31,2116.6991999999996,543.0,487.7,23.04,Same Day,197.29,Card,Shipped,Meera,,3
ORD030016,2024-05-20,2024-05-27,CUST01406,Neha Khan,Consumer,USA,Tamil Nadu,Pune,North,ABC123,P00851,Laptop Max,Furniture,Table,Zen,8,3604.28,,28834.24,2939.56,5317.76,18.44,Standard,449.46,Cash,Shipped,Meera,No,5
ORD009358,"May 26, 2025",2025-06-05,CUST01613,Rahul Singh,Home Office,india,Maharastra,Mumbai,West,ABC123,P01862,Phone Max,Furniture,Table,Nova,7,1402.21,,9815.470000000001,964.34,3065.09,31.23,standard ,83.69,UPI,Delivered,Rohit,No,
ORD041718,"Apr 08, 2024",2024-04-07,CUST07274,Rahul Sharma, consumer ,INDIA,Delhi,Bengaluru,East,400001 ,P01267,Mouse ,Technology,Laptop,Nova,3,3484.09,1.2,-2090.4539999999997,2011.84,-8125.97,388.72,Same Day,407.62,Card,Shipped,,Yes,3
ORD012718,23/05/2023,2023-05-25,CUST03181,Neha Patel,Consumer,USA,,Hydrabad,,,P02224,Mouse X,Technology,Laptop,Prime,8,632.28,,5058.24,518.84,907.52,17.94,Standard,193.99,Cash,Cancelled,Karan,No,1
ORD032683,"Jan 31, 2025",2025-02-03,CUST06782,Vikas Patel,Corporate,UAE,Tamil Nadu,Pune,East,803822,P02156,Desk Pro,Technology,Phone,Acme,1,68.8,1.2,-13.759999999999996,43.27,-57.03,414.46,Same Day,78.82,UPI,Shipped,Meera,,1
ORD002103,2025-01-05,2025-01-08,CUST07708,Neha Sharma,Corporate,,Gujarat,Hydrabad,South,400001 ,P01706,Desk ,Furniture,Table,Acme,13,1688.68,0.04,21074.7264,1446.0,2276.73,10.8,Standard,366.14,Net Banking,Shipped,Meera,,4
ORD039438,2025-04-05,2025-04-13,CUST01832,Priya Patel,Consumer,USA,,,,450498,P01232,Chair ,Office Supplies,Paper,Prime,7,2967.3,1.2,-4154.219999999999,2242.62,-19852.56,477.89,Standard,341.43,Cash,Cancelled,,Yes,4
ORD043590,2023-05-10,2023-05-21,CUST12236,Rahul Singh,Home Office,india,Gujarat,Delhi,East,,P00959,Chair 2025,Office Supplies,Paper,Zen,14,2189.21,,30648.940000000002,1464.27,10149.16,33.11,Same Day,393.48,,Pending,,No,5
